cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
31,-5.237448,9.091904,-6.7010803,3.0827115,-0.26758745,-1.8095726,1.1654888,4.6398582,-0.8064295,5.3599596,-10.5604515,0.024350515,-4.2504177,3.028781,3.3953817,7.592933,1.6534847,12.890229,3.5415602,-9.849112,-10.393627,0.8790381,-5.5391836,-7.7952495,-6.21645,-6.401083,6.828961,1.6031245,4.8469205,-0.97855103,4.2753606,-6.828227,-7.962218,-4.657639,-9.398956,12.556674,-4.352615,6.5065556,-2.4690173,2.6955988,-7.457258,1.9886603,5.7379966,-4.359986,-8.888368,-2.3523903,-11.728314,-1.0109296,-0.73364204,0.8115002
32,-2.4671466,0.74272114,-8.24462,3.5128798,-0.11408533,-2.2097268,-3.3329263,5.145925,-9.187719,10.354089,-11.942805,-0.352339,1.863937,2.946472,8.854928,11.288816,-0.8340029,15.043037,2.817393,-6.772219,-3.6716647,-6.426129,-1.8626728,-7.668432,-9.121796,4.99333,2.3744164,5.107873,1.7950945,1.3121482,-0.67112094,0.32293832,-12.208857,3.513201,-3.6401749,2.4880745,-6.533772,3.8588243,-6.884332,0.09240582,-0.5452495,7.7185884,6.8419704,-10.669063,-3.3081036,-1.5085634,-6.6386213,3.09356,-6.136374,-7.159727
33,-7.2369823,10.654516,-16.734978,12.349451,-4.252432,-11.241135,-1.9813528,6.402535,-6.0492687,-0.71606797,-8.090842,0.074035235,3.3608615,3.4304416,-2.0432775,15.433958,-6.125873,16.8239,13.969268,-16.703344,-12.698607,-0.6990382,-1.3425121,2.430129,-4.4220853,-2.8288145,0.9195225,-9.065149,-4.8872666,-5.79478,12.003183,-3.620772,-6.5926204,-0.9786977,-1.4889733,-0.45683724,1.9170309,-0.38623774,-2.94875,-0.04720407,-3.8192143,2.443253,9.923625,-7.340228,-7.909227,-0.63617575,3.4141085,-7.964703,-10.294125,2.9777758
34,-3.6955829,6.961916,-6.3892555,1.3413146,-7.6823487,-0.16509145,-2.7484274,0.26984155,-1.1362154,-4.3256555,-9.374681,-3.4414992,3.4468143,9.32136,8.473449,6.3398232,-4.4048915,7.650386,4.081763,-4.903495,3.8882666,-6.4843597,3.2170215,-6.036372,1.0268333,-0.27354395,8.486547,1.8641196,-5.58458,3.9657567,-0.5313286,-0.15907623,-2.110061,-3.8984783,1.3392466,0.23645651,1.5435402,-4.4237633,2.3900366,5.443455,1.0704565,8.494568,4.157275,-2.669816,-1.5440353,3.439165,2.8383272,3.09276,-0.6105631,0.21477288
35,-5.141459,9.259977,-17.102242,6.4643946,-6.041385,-2.786485,-1.6262559,2.9746156,-4.6133776,-8.266686,-7.701974,1.9667104,-9.365685,-1.1732143,12.90327,19.00941,-2.6973293,7.8346224,-1.0904503,-14.166261,-5.1348796,-3.3602304,-10.383814,5.3206077,-14.864286,-6.54762,10.739939,-1.3010217,1.2074101,-9.020264,1.8296099,4.9104695,1.282566,7.5039854,-3.13392,-9.681907,-2.4686124,1.7947013,-3.6092703,9.538003,-4.6473575,8.04226,3.6210938,-6.2812734,-15.177285,2.3725686,4.4604797,-4.1635365,-15.035233,-2.476217
36,-4.841347,6.550284,-10.826666,-7.2354865,-5.9007015,-7.0096684,-4.171682,-1.253445,-2.6600285,-1.8167166,-3.6643,0.18425919,5.223972,-1.5514579,3.8346539,11.898848,-1.6462954,18.031261,0.15597878,-6.137857,-5.8119674,-6.2328067,-11.541469,-8.988161,5.536686,2.1036367,-1.6800693,1.4910879,-5.3602905,1.9349856,-3.9734542,-7.910383,-5.0751486,0.38899273,-3.3582668,5.2827153,-5.558487,-0.59920174,-4.291968,0.070709206,-10.6222315,4.9214797,10.088863,-5.544213,-8.743672,-3.5804565,0.025921993,-3.8166034,-4.4724584,-2.0971873
37,-1.9523028,7.762323,-6.66545,2.2191453,-0.88731116,-9.379635,-4.0299206,1.1019555,-2.9478924,4.428273,-15.68064,-5.1460633,-8.742982,1.5817201,3.4388256,8.992964,-1.0021237,8.358264,4.697171,-6.3670177,0.050331466,-7.1066766,-3.8856797,-3.9952812,-11.495948,5.8935494,-1.367118,0.38918775,5.0201807,-0.49787307,2.9822981,7.02687,-1.9898367,3.226361,-9.399801,-2.3798609,2.3056753,2.8795383,-1.3162793,8.398219,-5.719528,2.6585248,12.180589,-7.0181293,-12.076378,-4.410683,-6.003168,-0.075134315,-9.045621,1.9980246
38,-0.25928807,-0.41281992,-9.148835,3.5438988,-1.4830558,-4.945589,-6.5679045,7.6658463,-0.58302677,3.924918,-6.0168138,1.1483365,-7.4138093,3.248564,5.0466237,7.730438,-7.997292,12.710268,6.841061,-4.212409,0.54517347,-1.6563264,-10.338974,-0.7344664,-2.619009,4.023621,1.6889691,1.4901868,-4.017203,-2.5826464,-0.033944428,-1.0277076,-17.632732,-0.3552807,-5.2788644,5.54473,-0.14517604,-1.382651,-9.942401,1.1739295,-6.0912924,7.355037,11.228779,-13.6812935,8.082929,-5.383303,-12.378333,-5.968488,3.1831067,-4.12218
39,-11.40279,6.8612823,0.27856448,4.957601,-0.9643387,-2.236167,-6.126732,5.426126,-3.6914437,-8.580653,-5.734959,-3.8465946,5.322905,1.9666506,4.6542325,12.519841,-1.6275343,14.094845,6.0738316,-1.7944351,11.24196,10.129562,0.18723778,-12.5795965,-16.882116,-8.084423,4.2468586,0.747997,-6.5656476,2.8323808,-5.2560124,6.9335184,-6.8793087,-7.3139524,0.33838692,-2.6598597,6.985527,3.3906724,-1.4590652,-7.9117923,7.4172897,10.798235,0.595538,7.656578,-13.794426,1.2263528,5.2098036,4.935753,6.8292017,-6.643596
40,-4.686475,-1.8978275,-4.5047774,-3.0966926,-1.3449856,-12.769468,8.2007265,3.2397988,-3.5383053,-1.2419438,-14.256716,2.2456024,2.138351,16.108477,6.310892,-0.07315222,-5.2013936,1.0854107,6.639509,-11.833635,-6.921128,-3.3219645,-6.383761,6.2345505,-6.2913713,-16.331549,1.7955275,-0.87726045,3.8438437,6.7997932,-1.8184558,-4.354504,-17.862532,-5.810937,-3.7886994,-3.498505,9.668739,8.839145,-3.2376626,1.2192383,-2.915062,-2.9587178,11.405499,2.7438073,-8.664819,8.122558,5.5425,5.4704323,2.011951,-1.5387233
41,-3.9091969,11.583433,-4.6210084,-1.5798979,-1.3617157,0.29792652,0.42008704,3.8309367,6.183193,1.2879379,-9.926122,-6.6569257,5.766629,6.720033,2.682665,0.03765335,-2.8285213,7.8618116,12.26257,-7.837153,-1.4092209,-8.104883,-2.074976,-4.92885,-8.866658,-3.0231748,9.29099,-6.830562,-6.1869287,10.865627,6.408387,4.265924,-11.290637,-2.419399,-1.2844148,10.904481,11.751069,4.056769,-3.3051603,13.020614,1.0894408,4.990323,-0.7124906,-3.8618972,1.3808706,4.481301,-6.0590167,-0.48613617,8.282451,6.4201674
42,2.4122827,6.6721463,-16.840015,5.4486103,-0.29300374,-10.166152,-4.4685116,-1.2585101,-0.19204485,-3.5205913,-7.02261,-3.686669,2.467899,7.8751054,2.4417405,6.752508,-3.9622817,11.4199295,7.046884,-13.225895,-15.108376,0.7305057,-1.0638782,-1.6575081,-6.465956,0.26932237,7.8420773,-9.677101,-7.33018,0.07089591,12.650752,1.9428157,-5.968417,1.5505892,-7.041697,9.453394,0.13708194,1.1717691,0.82504994,4.9928703,-8.961495,-4.1307945,5.8896885,-4.335565,-4.893236,-1.084252,-5.6346703,7.73723,-11.339015,7.3053775
43,-11.538128,8.264489,-6.911784,1.4097453,-8.779397,-5.944137,-2.6934395,8.956394,-5.3011236,-11.294675,-14.592462,-3.4653788,5.3392067,9.501855,6.1648345,15.275289,-6.714138,7.300353,5.0678945,0.99517554,4.073055,3.0331488,-4.9146757,-9.888038,-15.680836,-10.075167,5.3170023,1.8119719,-4.46134,-0.61346793,-4.063213,9.627525,-5.808517,-3.365519,2.8589604,-5.9150767,-0.31875286,6.8200216,0.80297285,-7.3586164,3.1268282,16.310692,0.8758137,5.443309,-13.015427,-0.3611038,11.86253,3.7265313,1.1479894,-7.2564464
44,-3.513242,3.1578114,2.663442,-10.413462,3.0098472,-9.661752,2.04406,2.0376132,3.272297,-5.0400105,-0.83987707,6.2611504,-7.756124,16.591772,-2.8086567,12.682096,-11.619628,-3.9856431,11.142952,-3.0148208,-2.7830698,3.1428976,-11.14174,5.091165,-4.055689,-12.161976,10.456362,1.244136,0.46705094,7.7629533,-3.9867196,-1.0996746,-5.9105625,-0.1297358,3.1776228,7.1565533,14.449205,7.0970764,-4.785759,6.415739,-3.6543496,4.1532364,1.0671005,-6.245138,0.3518147,2.8889465,-5.694027,-1.4523071,5.105602,-1.1843486
